strategy,mean_f1,std_f1,mean_fpr,std_fpr,mean_precision,mean_recall,mean_anomaly_rate,mean_confidence,mean_low_confidence_rate,mean_psi_action,retrains
gated_validation,0.02066090935835294,0.0013705075250383789,0.03549036021188822,0.008335359396318891,0.02695702119231531,0.016877637130801686,0.0808922187944225,0.027161262230947614,0.9768209885451821,0.40841850288080206,0
static_w0,0.02066090935835294,0.0013705075250383789,0.03549036021188822,0.008335359396318891,0.02695702119231531,0.016877637130801686,0.0808922187944225,0.027161262230947614,0.9768209885451821,0.40841850288080206,0
anchor_recent,0.016809682239065923,0.004740692253321276,0.06135067307875736,0.0295897567377566,0.018877654427472187,0.016877637130801686,0.09531973215567581,0.03626797837205231,0.9393446759990983,0.3040419305711232,2
adaptive_online,0.01672243489283937,0.0047822588013102935,0.061668726794118,0.029897125954162447,0.018732439267009432,0.016877637130801686,0.08979286797156781,0.03187440948871275,0.9614823341791595,0.2260866224697123,2
expanding,0.016498691636813185,0.005135169244779358,0.06446232453270034,0.03235815357622923,0.018486094980794628,0.016877637130801686,0.0969120888435739,0.04637078933107356,0.8986621742298132,0.3230995467857604,2
triggered,0.016498691636813185,0.005135169244779358,0.06446232453270034,0.03235815357622923,0.018486094980794628,0.016877637130801686,0.0969120888435739,0.04637078933107356,0.8986621742298132,0.3230995467857604,2
sliding_k2,0.014097251735373281,0.008717463989093139,0.13100417180161825,0.13645172360754695,0.016312453003368487,0.016877637130801686,0.16060635635949747,0.023738296624893945,0.9621131650295301,0.47525555679527187,2
recent_only,0.01401000438914673,0.008699428573954249,0.13319213959891105,0.13945136041849354,0.016167237842905736,0.016877637130801686,0.16144891892698182,0.010921994883877536,0.9844388097630236,0.4173346866574472,2
