test_window,train_windows,decision,reason,psi_action,psi_object_type,action_novelty,novel_token_rate,anomaly_rate,mean_confidence,low_confidence_rate,precision,recall,f1,fpr,n_detected
W1,W0,retrain_before_next_window,PSI(action)=0.655>0.500,0.6545666519873266,0.15190058053454733,0.05555555555555555,0.977205153617443,0.2637055837563452,0.36685219407081604,0.42021996615905244,0.023933402705515087,0.0970464135021097,0.038397328881469114,0.24471693190712235,1039
W2,W0+W1,keep_current_model,PSI(action)=0.369<=0.500,0.3691293086926048,0.03939016561317928,0.2608695652173913,0.9716039907904835,0.11146838156484459,0.3548189401626587,0.4000982493747767,0.2345679012345679,0.3206751054852321,0.2709447415329768,0.07003671279299632,416
W3,W0+W1,keep_current_model,PSI(action)=0.404<=0.500,0.4042148540565842,0.04871327096799523,0.28,0.9737586827887831,0.14475467606397396,0.35175037384033203,0.40263847474473663,0.246684350132626,0.3924050632911392,0.3029315960912052,0.08316251830161055,534
