policy,action_psi_threshold,seed,train_windows,test_window,psi_action,psi_object_type,action_novelty,novel_token_rate,precision,recall,f1,fpr,tpr,retrain_triggered,n_detected,total_retrains_for_policy
action_psi_gt_0.1,0.1,42,W0,W1,0.6545666519873264,0.15190058053454733,0.05555555555555555,0.977205153617443,0.023933402705515087,0.0970464135021097,0.038397328881469114,0.24471693190712235,0.0970464135021097,True,1039,2
action_psi_gt_0.1,0.1,42,W0+W1,W2,0.3691293086926047,0.0393901656131793,0.2608695652173913,0.9716039907904835,0.2345679012345679,0.3206751054852321,0.2709447415329768,0.07003671279299632,0.3206751054852321,True,416,2
action_psi_gt_0.1,0.1,42,W0+W1+W2,W3,0.1977341904860336,0.025580763213798374,0.04,0.9490609724723437,0.24281984334203655,0.3924050632911392,0.3,0.0841799709724238,0.3924050632911392,True,516,2
action_psi_gt_0.2,0.2,42,W0,W1,0.6545666519873264,0.15190058053454733,0.05555555555555555,0.977205153617443,0.023933402705515087,0.0970464135021097,0.038397328881469114,0.24471693190712235,0.0970464135021097,True,1039,2
action_psi_gt_0.2,0.2,42,W0+W1,W2,0.3691293086926047,0.0393901656131793,0.2608695652173913,0.9716039907904835,0.2345679012345679,0.3206751054852321,0.2709447415329768,0.07003671279299632,0.3206751054852321,True,416,2
action_psi_gt_0.2,0.2,42,W0+W1+W2,W3,0.1977341904860336,0.025580763213798374,0.04,0.9490609724723437,0.24281984334203655,0.3924050632911392,0.3,0.0841799709724238,0.3924050632911392,False,516,2
action_psi_gt_0.3,0.3,42,W0,W1,0.6545666519873264,0.15190058053454733,0.05555555555555555,0.977205153617443,0.023933402705515087,0.0970464135021097,0.038397328881469114,0.24471693190712235,0.0970464135021097,True,1039,2
action_psi_gt_0.3,0.3,42,W0+W1,W2,0.3691293086926047,0.0393901656131793,0.2608695652173913,0.9716039907904835,0.2345679012345679,0.3206751054852321,0.2709447415329768,0.07003671279299632,0.3206751054852321,True,416,2
action_psi_gt_0.3,0.3,42,W0+W1+W2,W3,0.1977341904860336,0.025580763213798374,0.04,0.9490609724723437,0.24281984334203655,0.3924050632911392,0.3,0.0841799709724238,0.3924050632911392,False,516,2
action_psi_gt_0.5,0.5,42,W0,W1,0.6545666519873264,0.15190058053454733,0.05555555555555555,0.977205153617443,0.023933402705515087,0.0970464135021097,0.038397328881469114,0.24471693190712235,0.0970464135021097,True,1039,1
action_psi_gt_0.5,0.5,42,W0+W1,W2,0.3691293086926047,0.0393901656131793,0.2608695652173913,0.9716039907904835,0.2345679012345679,0.3206751054852321,0.2709447415329768,0.07003671279299632,0.3206751054852321,False,416,1
action_psi_gt_0.5,0.5,42,W0+W1,W3,0.4042148540565843,0.04871327096799524,0.28,0.9737586827887831,0.246684350132626,0.3924050632911392,0.3029315960912052,0.08316251830161055,0.3924050632911392,False,534,1
