policy,action_psi_threshold,mean_f1,mean_fpr,mean_precision,mean_recall,mean_psi_action,retrain_windows,retrain_events
action_psi_gt_0.5,0.5,0.20409122216855038,0.13263872100057642,0.16839521802423632,0.270042194092827,0.4759702715788385,1,1
action_psi_gt_0.1,0.1,0.20311402347148197,0.1329778718908475,0.16710704909403984,0.270042194092827,0.4071433837219882,3,2
action_psi_gt_0.2,0.2,0.20311402347148197,0.1329778718908475,0.16710704909403984,0.270042194092827,0.4071433837219882,2,2
action_psi_gt_0.3,0.3,0.20311402347148197,0.1329778718908475,0.16710704909403984,0.270042194092827,0.4071433837219882,2,2
